UniProt,Ensembl,Disease_ID,Disease_Name,Datasource_Scores,Score,Gene_Name
O00238,ENSG00000138696,MONDO_0005148,type 2 diabetes mellitus,gwas_credible_sets:0.7740752295874807,0.4705841717345158,BMPR1B
O00238,ENSG00000138696,HP_0000132,Menorrhagia,gwas_credible_sets:0.7689184801673743,0.4674492249464673,BMPR1B
O00238,ENSG00000138696,EFO_0004260,bone disease,chembl:0.7599134970145264,0.4619748183558772,BMPR1B
O00311,ENSG00000097046,EFO_0005091,monocyte count,gwas_credible_sets:0.9285401993554644,0.5644881840086211,CDC7
O00311,ENSG00000097046,EFO_0004309,platelet count,gwas_credible_sets:0.9062682636679651,0.550948388381765,CDC7
O00311,ENSG00000097046,EFO_0004842,eosinophil count,gwas_credible_sets:0.8849387573176309,0.5379815245735442,CDC7
O00311,ENSG00000097046,EFO_0005772,neurodegenerative disease,crispr_screen:0.865457038266544; europepmc:0.07599134970145263,0.5284478616637507,CDC7
O00311,ENSG00000097046,EFO_0004713,FEV/FVC ratio,gwas_credible_sets:0.7458442312465056,0.4534216783957144,CDC7
O00311,ENSG00000097046,EFO_0004627,IGF-1 measurement,gwas_credible_sets:0.7244060158745879,0.4403887270252948,CDC7
O00311,ENSG00000097046,EFO_0007989,monocyte percentage of leukocytes,gwas_credible_sets:0.7064583115210391,0.4294777648023444,CDC7
O00311,ENSG00000097046,EFO_0007991,eosinophil percentage of leukocytes,gwas_credible_sets:0.6731672212830362,0.4092390857605948,CDC7
O00311,ENSG00000097046,EFO_0800701,X-12100 measurement,gwas_credible_sets:0.5880269123497093,0.3574796698418575,CDC7
O00311,ENSG00000097046,EFO_0004207,pathological myopia,gwas_credible_sets:0.5710873929766979,0.3471816143182652,CDC7
O00418,ENSG00000103319,EFO_0009270,heel bone mineral density,gwas_credible_sets:0.6103744666672418,0.3710654363627841,EEF2K
O00418,ENSG00000103319,OBA_0003747,glomerular filtration rate,gwas_credible_sets:0.5616063703601087,0.3414178086767884,EEF2K
O00418,ENSG00000103319,EFO_0000304,breast adenocarcinoma,slapenrich:0.9067628608047468,0.2756245346068125,EEF2K
O00418,ENSG00000103319,MONDO_0024622,thyroid gland adenocarcinoma,slapenrich:0.9066612367713315,0.2755936444169672,EEF2K
O00418,ENSG00000103319,EFO_0005772,neurodegenerative disease,crispr_screen:0.44732143164051386; europepmc:0.09340490561523726,0.2747796606645653,EEF2K
O00418,ENSG00000103319,OBA_1000110,bone tissue density,gwas_credible_sets:0.4484487414656876,0.2726258010871631,EEF2K
